player,squad,league,control_midfielder_score,Defensive protection,Transition control,Possession security,Progressive value,Age / availability
Exequiel Palacios,Bayer Leverkusen,Bundesliga,74.77,47.5,79.29,99.29,85.83,60.0
Johnny Cardoso,Atletico Madrid,La Liga,71.0,85.0,63.57,71.43,57.5,62.5
Morten Hjulmand,Sporting CP,Primeira Liga,59.82,69.17,51.07,55.71,55.0,82.5
Florentino Luís,Burnley,Premier League,59.54,95.83,59.29,47.86,8.33,55.0
Mats Wieffer,Brighton & Hove Albion,Premier League,57.57,60.0,52.86,56.43,55.83,77.5
Adam Wharton,Crystal Palace,Premier League,55.61,50.0,61.43,50.0,67.5,52.5
Alan Varela,Porto,Primeira Liga,54.32,57.5,57.86,51.43,42.5,67.5
Ederson,Atalanta,Serie A,50.91,67.5,52.86,24.29,45.0,92.5
Carlos Baleba,Brighton & Hove Albion,Premier League,47.17,51.25,50.71,25.71,55.83,86.25
João Gomes,Wolverhampton Wanderers,Premier League,44.55,75.0,44.29,6.43,35.83,80.0
Amadou Onana,Aston Villa,Premier League,32.32,55.0,25.0,14.29,16.67,70.0
