player,rank_base,rank_defensive_heavy,rank_possession_heavy,rank_transition_heavy,rank_progression_heavy,rank_equal_weight,best_rank,worst_rank,rank_range,average_rank,rank_stability_score
Exequiel Palacios,1,2,1,1,1,1,1,2,1,1.17,75.0
Johnny Cardoso,2,1,2,2,2,2,1,2,1,1.83,75.0
Morten Hjulmand,3,4,3,3,3,3,3,4,1,3.17,75.0
Mats Wieffer,5,5,4,5,5,4,4,5,1,4.67,75.0
Florentino Luís,4,3,5,4,7,6,3,7,4,4.83,0.0
Adam Wharton,6,7,6,6,4,5,4,7,3,5.67,25.0
Alan Varela,7,6,7,7,6,7,6,7,1,6.67,75.0
Ederson,8,8,8,8,8,8,8,8,0,8.0,100.0
Carlos Baleba,9,10,9,9,9,9,9,10,1,9.17,75.0
João Gomes,10,9,10,10,10,10,9,10,1,9.83,75.0
Amadou Onana,11,11,11,11,11,11,11,11,0,11.0,100.0
